subject,stim_name,ensemble,genre,target,mean_pearson
0001,pop_falldead_trio_BsDrVx_theme1_stereo_Bs,trio,pop,Bs,0.043436548115064026
0001,pop_falldead_trio_GtDrVx_theme1_stereo_Gt,trio,pop,Gt,0.04606307751571879
0001,pop_falldead_trio_GtDrVx_theme1_stereo_Vx,trio,pop,Vx,0.007495511837550792
0001,pop_mixtape_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,0.020571145582935203
0001,pop_mixtape_duo_BsDr_theme2_stereo_Dr,duo,pop,Dr,0.0014425115593827132
0001,pop_mixtape_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,0.04979024422118764
0001,pop_mixtape_duo_GtVx_theme1_stereo_Vx,duo,pop,Vx,0.0273566374387004
0001,pop_mixtape_trio_BsDrVx_theme2_stereo_Dr,trio,pop,Dr,0.01713851476726887
0001,pop_mixtape_trio_GtDrVx_theme1_stereo_Vx,trio,pop,Vx,0.05636660427678125
0001,pop_mixtape_trio_GtDrVx_theme2_stereo_Dr,trio,pop,Dr,-0.0008355957047349403
0002,classique_morceau1_duo_CoFl_theme1_stereo_Co,duo,classique,Co,0.05508704573307562
0002,classique_morceau1_duo_CoFl_theme2_stereo_Fl,duo,classique,Fl,-0.042463533278033476
0002,classique_morceau1_duo_CoOb_theme2_stereo_Co,duo,classique,Co,0.02478526313410182
0002,classique_morceau1_duo_CoOb_theme2_stereo_Ob,duo,classique,Ob,-0.017277156543082928
0002,classique_morceau1_duo_FlOb_theme1_stereo_Fl,duo,classique,Fl,0.025557021995262063
0002,classique_morceau1_duo_FlOb_theme2_stereo_Ob,duo,classique,Ob,0.03090284252133756
0002,classique_morceau1_trio_CoFlOb_theme1_stereo_Co,trio,classique,Co,0.016861288307497283
0002,classique_morceau1_trio_CoFlOb_theme1_stereo_Ob,trio,classique,Ob,-0.02220662863193081
0002,classique_morceau1_trio_CoFlOb_theme2_stereo_Fl,trio,classique,Fl,0.039773019398122916
0002,classique_morceau2_duo_BoFh_theme2_stereo_Bo,duo,classique,Bo,-0.015131375093016831
